"cd_pais","pais"
"521","Nicarágua"
"525","Níger"
"528","Nigéria"
"531","Niue, Ilha"
"535","Norfolk, Ilha"
"538","Noruega"
"542","Nova Caledônia"
"545","Papua Nova Guiné"
"548","Nova Zelândia"
"551","Vanuatu"
"556","Omã"
"563","Pacífico, Ilhas do (Administração dos EUA)"
"566","Pacífico, Ilhas do (Possessão dos EUA)"
"569","Pacífico, Ilhas do (Território em Fideicomisso dos)"
"573","Paises Baixos (Holanda)"
"575","Palau"
"576","Paquistão"
"578","Palestina"
"580","Panamá"
"583","Papua Nova Guiné"
"586","Paraguai"
"589","Peru"
"593","Pitcairn, Ilha"
"599","Polinésia Francesa"
"603","Polônia, República da"
"607","Portugal"
"611","Porto Rico"
"623","Quênia"
"625","Quirguiz, República"
"628","Reino Unido"
"640","República Centro-Africana"
"647","República Dominicana"
"660","Reunião, Ilha"
"665","Zimbábue"
"670","Romênia"
"675","Ruanda"
"676","Rússia, Federacão da"
"677","Salomão, Ilhas"
"678","Saint Kitts e Nevis"
"685","Saara Ocidental"
"687","El Salvador"
"690","Samoa"
"691","Samoa Americana"
"693","São Bartolomeu"
"695","São Cristovão e Neves, Ilhas"
"697","San Marino"
"698","São Martinho, Ilha de (Parte Francesa)"
"699","São Martinho, Ilha de (Parte Holandesa)"
"700","São Pedro e Miquelon"
"705","São Vicente e Granadinas"
"710","Santa Helena"
"715","Santa Lúcia"
"720","Sao Tomé e Príncipe, Ilhas"
"728","Senegal"
"731","Seychelles"
"735","Serra Leoa"
"737","Sérvia"
"738","Sikkim"
"741","Cingapura"
"744","Síria, República Árabe da"
"748","Somália"
"750","Sri Lanka"
"754","eSwatini"
"755","Svalbard e Jan Mayen"
"756","África do Sul"
"759","Sudão"
"760","Sudão do Sul"
"764","Suécia"
"767","Suíça"
"770","Suriname"
"772","Tadjiquistão, República do"
"776","Tailândia"
"780","Tanzânia, Rep. Unida da"
"781","Terras Austrais Francesas"
"782","Território Brit. Oc. Índico"
"783","Djibuti"
"785","Território da Alta Comissão do Pacífico Ocidental"
"788","Chade"
"790","Tchecoslováquia"
"791","Tcheca, República"
"795","Timor Leste"
"800","Togo"
"805","Toquelau, Ilhas"
"810","Tonga"
"815","Trinidad e Tobago"
"820","Tunísia"
"823","Turcas e Caicos, Ilhas"
"824","Turcomenistão, República do"
"827","Turquia"
"828","Tuvalu"
"831","Ucrânia"
"833","Uganda"
"840","Uniao das Repúblicas Socialistas Soviéticas"
"845","Uruguai"
"847","Uzbequistao, República do"
"848","Vaticano, Est. da Cidade do"
"850","Venezuela"
"855","Vietname Norte"
"858","Vietnã"
"863","Virgens, Ilhas (Britânicas)"
"866","Virgens, Ilhas (EUA)"
"870","Fiji"
"873","Wake, Ilha"
"875","Wallis e Futuna, Ilhas"
"888","Congo, República Democrática do"
"890","Zâmbia"
"895","Zona do Canal do Panamá"
