"CDSecao","DSSecao","CDDivisao","DSDivisao","CDGrupo","DSGrupo","CDClasse","DSClasse","CDSubclasse","DSSubclasse","Vigencia21","Vigencia22","Vigencia23"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01164","Cultivo de oleaginosas de lavoura temporária, exceto soja","0116401","Cultivo de amendoim","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01164","Cultivo de oleaginosas de lavoura temporária, exceto soja","0116402","Cultivo de girassol","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01164","Cultivo de oleaginosas de lavoura temporária, exceto soja","0116403","Cultivo de mamona","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01164","Cultivo de oleaginosas de lavoura temporária, exceto soja","0116499","Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119901","Cultivo de abacaxi","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119902","Cultivo de alho","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119903","Cultivo de batata inglesa","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119904","Cultivo de cebola","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119905","Cultivo de feijão","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119906","Cultivo de mandioca","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119907","Cultivo de melão","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119908","Cultivo de melancia","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119909","Cultivo de tomate rasteiro","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","011","Produção de lavouras temporárias","01199","Cultivo de plantas de lavoura temporária não especificadas anteriormente","0119999","Cultivo de outras plantas de lavoura temporária não especificadas anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","012","Horticultura e floricultura","01211","Horticultura","0121101","Horticultura, exceto morango","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","012","Horticultura e floricultura","01211","Horticultura","0121102","Cultivo de morango","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","012","Horticultura e floricultura","01229","Cultivo de flores e plantas ornamentais","0122900","Cultivo de flores e plantas ornamentais","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01318","Cultivo de laranja","0131800","Cultivo de laranja","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01326","Cultivo de uva","0132600","Cultivo de uva","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133401","Cultivo de açaí","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133402","Cultivo de banana","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133403","Cultivo de caju","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133404","Cultivo de cítricos, exceto laranja","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133405","Cultivo de coco da baía","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133406","Cultivo de guaraná","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133407","Cultivo de maçã","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133408","Cultivo de mamão","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133409","Cultivo de maracujá","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133410","Cultivo de manga","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133411","Cultivo de pêssego","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01334","Cultivo de frutas de lavoura permanente, exceto laranja e uva","0133499","Cultivo de frutas de lavoura permanente não especificadas anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01342","Cultivo de café","0134200","Cultivo de café","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01351","Cultivo de cacau","0135100","Cultivo de cacau","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01393","Cultivo de plantas de lavoura permanente não especificadas anteriormente","0139301","Cultivo de chá da índia","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01393","Cultivo de plantas de lavoura permanente não especificadas anteriormente","0139302","Cultivo de erva mate","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01393","Cultivo de plantas de lavoura permanente não especificadas anteriormente","0139303","Cultivo de pimenta do reino","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01393","Cultivo de plantas de lavoura permanente não especificadas anteriormente","0139304","Cultivo de plantas para condimento, exceto pimenta do reino","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01393","Cultivo de plantas de lavoura permanente não especificadas anteriormente","0139305","Cultivo de dendê","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01393","Cultivo de plantas de lavoura permanente não especificadas anteriormente","0139306","Cultivo de seringueira","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","013","Produção de lavouras permanentes","01393","Cultivo de plantas de lavoura permanente não especificadas anteriormente","0139399","Cultivo de outras plantas de lavoura permanente não especificadas anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","014","Produção de sementes e mudas certificadas","01415","Produção de sementes certificadas","0141501","Produção de sementes certificadas, exceto de forrageiras para pasto","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","014","Produção de sementes e mudas certificadas","01415","Produção de sementes certificadas","0141502","Produção de sementes certificadas de forrageiras para formação de pasto","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","014","Produção de sementes e mudas certificadas","01423","Produção de mudas e outras formas de propagação vegetal, certificadas","0142300","Produção de mudas e outras formas de propagação vegetal, certificadas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01512","Criação de bovinos","0151201","Criação de bovinos para corte","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01512","Criação de bovinos","0151202","Criação de bovinos para leite","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01512","Criação de bovinos","0151203","Criação de bovinos, exceto para corte e leite","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01521","Criação de outros animais de grande porte","0152101","Criação de bufalinos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01521","Criação de outros animais de grande porte","0152102","Criação de eqüinos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01521","Criação de outros animais de grande porte","0152103","Criação de asininos e muares","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01539","Criação de caprinos e ovinos","0153901","Criação de caprinos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01539","Criação de caprinos e ovinos","0153902","Criação de ovinos, inclusive para produção de lã","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01547","Criação de suínos","0154700","Criação de suínos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01555","Criação de aves","0155501","Criação de frangos para corte","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01555","Criação de aves","0155502","Produção de pintos de um dia","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01555","Criação de aves","0155503","Criação de outros galináceos, exceto para corte","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01555","Criação de aves","0155504","Criação de aves, exceto galináceos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01555","Criação de aves","0155505","Produção de ovos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01598","Criação de animais não especificados anteriormente","0159801","Apicultura","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01598","Criação de animais não especificados anteriormente","0159802","Criação de animais de estimação","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01598","Criação de animais não especificados anteriormente","0159803","Criação de escargô","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01598","Criação de animais não especificados anteriormente","0159804","Criação de bicho da seda","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","015","Pecuária","01598","Criação de animais não especificados anteriormente","0159899","Criação de outros animais não especificados anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01610","Atividades de apoio à agricultura","0161001","Serviço de pulverização e controle de pragas agrícolas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01610","Atividades de apoio à agricultura","0161002","Serviço de poda de árvores para lavouras","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01610","Atividades de apoio à agricultura","0161003","Serviço de preparação de terreno, cultivo e colheita","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01610","Atividades de apoio à agricultura","0161099","Atividades de apoio à agricultura não especificadas anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01628","Atividades de apoio à pecuária","0162801","Serviço de inseminação artificial de animais","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01628","Atividades de apoio à pecuária","0162802","Serviço de tosquiamento de ovinos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01628","Atividades de apoio à pecuária","0162803","Serviço de manejo de animais","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01628","Atividades de apoio à pecuária","0162899","Atividades de apoio à pecuária não especificadas anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","016","Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita","01636","Atividades de pós-colheita","0163600","Atividades de pós colheita","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","01","Agricultura, pecuária e serviços relacionados","017","Caça e serviços relacionados","01709","Caça e serviços relacionados","0170900","Caça e serviços relacionados","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210101","Cultivo de eucalipto","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210102","Cultivo de acácia negra","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210103","Cultivo de pinus","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210104","Cultivo de teca","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210105","Cultivo de espécies madeireiras, exceto eucalipto, acácia negra, pinus e teca","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210106","Cultivo de mudas em viveiros florestais","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210107","Extração de madeira em florestas plantadas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210108","Produção de carvão vegetal - florestas plantadas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210109","Produção de casca de acácia negra - florestas plantadas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","021","Produção florestal - florestas plantadas","02101","Produção florestal - florestas plantadas","0210199","Produção de produtos não madeireiros não especificados anteriormente em florestas plantadas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","022","Produção florestal - florestas nativas","02209","Produção florestal - florestas nativas","0220901","Extração de madeira em florestas nativas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","022","Produção florestal - florestas nativas","02209","Produção florestal - florestas nativas","0220902","Produção de carvão vegetal - florestas nativas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","022","Produção florestal - florestas nativas","02209","Produção florestal - florestas nativas","0220903","Coleta de castanha do pará em florestas nativas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","022","Produção florestal - florestas nativas","02209","Produção florestal - florestas nativas","0220904","Coleta de látex em florestas nativas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","022","Produção florestal - florestas nativas","02209","Produção florestal - florestas nativas","0220905","Coleta de palmito em florestas nativas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","022","Produção florestal - florestas nativas","02209","Produção florestal - florestas nativas","0220906","Conservação de florestas nativas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","022","Produção florestal - florestas nativas","02209","Produção florestal - florestas nativas","0220999","Coleta de produtos não madeireiros não especificados anteriormente em florestas nativas","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","02","Produção florestal","023","Atividades de apoio à produção florestal","02306","Atividades de apoio à produção florestal","0230600","Atividades de apoio à produção florestal","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03116","Pesca em água salgada","0311601","Pesca de peixes em água salgada","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03116","Pesca em água salgada","0311602","Pesca de crustáceos e moluscos em água salgada","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03116","Pesca em água salgada","0311603","Coleta de outros produtos marinhos","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03116","Pesca em água salgada","0311604","Atividades de apoio à pesca em água salgada","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03124","Pesca em água doce","0312401","Pesca de peixes em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03124","Pesca em água doce","0312402","Pesca de crustáceos e moluscos em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03124","Pesca em água doce","0312403","Coleta de outros produtos aquáticos de água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","031","Pesca","03124","Pesca em água doce","0312404","Atividades de apoio à pesca em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03213","Aquicultura em água salgada e salobra","0321301","Criação de peixes em água salgada e salobra","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03213","Aquicultura em água salgada e salobra","0321302","Criação de camarões em água salgada e salobra","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03213","Aquicultura em água salgada e salobra","0321303","Criação de ostras e mexilhões em água salgada e salobra","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03213","Aquicultura em água salgada e salobra","0321304","Criação de peixes ornamentais em água salgada e salobra","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03213","Aquicultura em água salgada e salobra","0321305","Atividades de apoio à aqüicultura em água salgada e salobra","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03213","Aquicultura em água salgada e salobra","0321399","Cultivos e semicultivos da aqüicultura em água salgada e salobra não especificados anteriormente","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322101","Criação de peixes em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322102","Criação de camarões em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322103","Criação de ostras e mexilhões em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322104","Criação de peixes ornamentais em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322105","Ranicultura","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322106","Criação de jacaré","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322107","Atividades de apoio à aqüicultura em água doce","1","1","1"
"A","Agricultura, pecuária, produção florestal, pesca e aqüicultura","03","Pesca e aqüicultura","032","Aqüicultura","03221","Aquicultura em água doce","0322199","Cultivos e semicultivos da aqüicultura em água doce não especificados anteriormente","1","1","1"
"B","Indústrias extrativas","05","Extração de carvão mineral","050","Extração de carvão mineral","05003","Extração de carvão mineral","0500301","Extração de carvão mineral","1","1","1"
"B","Indústrias extrativas","05","Extração de carvão mineral","050","Extração de carvão mineral","05003","Extração de carvão mineral","0500302","Beneficiamento de carvão mineral","1","1","1"
"B","Indústrias extrativas","06","Extração de petróleo e gás natural","060","Extração de petróleo e gás natural","06000","Extração de petróleo e gás natural","0600001","Extração de petróleo e gás natural","1","1","1"
"B","Indústrias extrativas","06","Extração de petróleo e gás natural","060","Extração de petróleo e gás natural","06000","Extração de petróleo e gás natural","0600002","Extração e beneficiamento de xisto","1","1","1"
