"codsitgeradora","ds_codsitgeradora"
"303020520","Máquina de mineração e perfuração (de túnel, poço, etc.)"
"303020560","Máquina agrícola"
"303020600","Máquina têxtil"
"303020640","Máquina de costurar e de pespontar"
"303020680","Máquina de imprimir"
"303020720","Máquina de escritório"
"303020760","Máquina de embalar ou empacotar"
"303020900","Máquina, NIC"
"303025300","Transportador por gravidade"
"303025600","Transportador com força motriz"
"303025900","Transportador, NIC"
"303030050","Guindaste - equipamento de guindar"
"303030100","Ponte rolante - equipamento de guindar"
"303030150","Elevador - equipamento de guindar"
"303030200","Elevador de caçamba para mineração - equipamento de guindar"
"303030250","Pá mecânica, draga - equipamento de guindar"
"303030300","Talha - equipamento de guindar"
"303030350","Pau de carga - equipamento de guindar"
"303030400","Macaco (mecânico, hidráulico, pneumático) - equipamento de guindar"
"303030450","Guincho pneumático - equipamento de guindar"
"303030500","Guincho elétrico - equipamento de guindar"
"303030900","Equipamento de guindar, NIC"
"303035300","Correia - dispositivo de transmissão de energia mecânica"
"303035400","Corrente, corda, cabo - dispositivo de transmissão de energia mecânica"
"303035500","Tambor, polia, roldana - dispositivo de transmissão de energia mecânica"
"303035600","Embreagem de fricção - dispositivo de transmissão de energia mecânica"
"303035700","Engrenagem - dispositivo de transmissão de energia mecânica"
"303035900","Dispositivo de transmissão de energia mecânica, NIC"
"303040100","Gerador - equipamento elétrico"
"303040200","Condutor - equipamento elétrico"
"303040300","Transformador, conversor - equipamento elétrico"
"303040400","Painel de controle, barramento, chave, interruptor, disjuntor, fusível - equipamento elétrico"
"303040500","Reostato, dispositivo de partida e aparelho de controle, capacitor, retificador, bateria de acumuladores - equipamento elétrico"
"303040600","Motor elétrico - equipamento elétrico"
"303040700","Equipamento magnético - equipamento elétrico"
"303040750","Equipamento eletrolítico - equipamento elétrico"
"303040800","Equipamento de aquecimento elétrico - equipamento elétrico"
"303040900","Equipamento elétrico, NIC"
"303045200","Motor (combustão interna, vapor)"
"303045400","Bomba"
"303045600","Turbina"
"303045900","Motor, bomba, turbina, NIC"
"303050200","Caldeira"
"303050400","Vaso sob pressão (para líquido, gás ou vapor)"
"303050600","Tubo sob pressão (mangueira ou tubo para liquido, gás ou vapor)"
"303050900","Caldeira, vaso sob pressão, NIC"
"303055200","Caixão pneumático - equipamento para trabalho em ambiente de pressão anormal"
"303055400","Escafandro - equipamento para trabalho em ambiente de pressão anormal"
"303055600","Equipamento de mergulho - equipamento para trabalho em ambiente de pressão anormal"
"303055900","Equipamento para trabalho em ambiente de pressão anormal, NIC"
"303060000","Forno, estufa, retorta, aquecedor de ambiente, fogão, etc., exceto quando a lesão principal for choque elétrico ou eletroplessão - equipamento de aquecimento"
"303065000","Equipamento emissor de radiação não ionizante"
"303065300","Equipamento de iluminação - equipamento emissor de radiação não ionizante"
"303065600","Arco elétrico - equipamento emissor de radiação não ionizante"
"303065900","Equipamento emissor de radiação não ionizante, NIC"
"303066300","Equipamento de iluminação"
"303066600","Arco elétrico"
"303070200","Equipamento de raios X - equipamento ou substância emissores de radiação ionizante"
"303070400","Reator (inclui combustível e resíduo) - equipamento ou substância emissores de radiação ionizante"
"303070600","Fonte de radioisótopo - equipamento ou substância emissores de radiação ionizante"
"303070900","Equipamento ou substância emissores de radiação ionizante, NIC"
"303075100","Bicicleta"
"303075150","Triciclo"
"303075200","Motocicleta, motoneta"
"303075250","Veículo rodoviário motorizado"
"303075300","Veículo sobre trilho"
"303075350","Veículo aquático"
"303075400","Aeronave"
"303075450","Empilhadeira"
"303075500","Rebocador mecânico, mula mecânica"
"303075550","Carro-de-mão"
"303075600","Trator"
"303075650","Veículo de terraplenagem"
"303075700","Veículo de tração animal"
"303075750","Veículo deslizante"
"303075800","Veículo funicular (tração por cabo)"
"303075900","Veículo, NIC"
"303090000","Ferramenta, máquina, equipamento, veículo, NIC"
"305004100","Composto metálico (de chumbo, mercúrio, zinco, cadmio, cromo, etc.)"
"305004150","Composto de arsênio"
"305004200","Gás carbônico (dióxido de carbono, CO2)"
"305004250","Monóxido de carbono (CO)"
"305004300","Óxidos de Nitrogênio (vapores nitrosos)"
"305004350","Ácido"
"305004400","Álcali"
"305004450","Composto de fósforo"
"305004500","Dissulfeto de carbono"
"305004550","Cianeto ou composto de cianogênio"
"305004600","Álcool"
"305004650","Tetracloreto de carbono"
"305004700","Composto orgânico halogenado (tricloretileno, percloretileno, cloreto de metilo, substâncias refrigerantes)"
"305004750","Composto aromático (benzol, toluol, xilol, anilina, etc.)"
"305004900","Substância química, NIC"
"305008500","Água - usar quando o estado líquido contribuir preponderantemente para a ocorrência"
"305008900","Líquido, NIC"
"305020000","Partículas - não identificadas"
"305024100","Pele, crina, pelo, lã (em bruto) - produto animal"
"305024300","Pena - produto animal"
"305024500","Couro cru ou curtido - produto animal"
"305024700","Osso - produto animal"
"305024900","Produto animal, NIC"
"305028000","Madeira (toro, madeira serrada, pranchão, poste, barrote, ripa e produto de madeira)"
"305032000","Produto mineral metálico - produto de mineração em bruto ou beneficiado, como minério e concentrado de minério"
"305032500","Metal - inclui liga ferrosa e não ferrosa, tubo, placa, perfil, trilho, vergalhão, arame, porca, rebite, prego, etc. inclui metal fundido, lingote e sucata de fundição, exceto minério"
"305036000","Produto mineral não metálico - produto de mineração, escavação, desbarrancamento, etc., como detrito, argila, areia, cascalho, pedra, etc."
"305040100","Petróleo bruto, bruto reduzido"
"305040150","Asfalto, alcatrão, piche"
"305040200","Óleo combustível"
"305040250","Parafina, óleo lubrificante e de corte, graxas"
"305040300","Gasóleo, óleo diesel"
"305040350","Querosene"
"305040400","Nafta e solvente de nafta (éter de petróleo, álcool mineral, solvente aromático, etc.)"
"305040450","Gasolina (exceto quando a ocorrência for causada preponderantemente por composto de chumbo)"
"305040500","Hidrocarboneto gasoso (inclui gás liquefeito, gás encanado de nafta, gás natural)"
"305040600","Carvão"
"305040650","Coque"
"305040700","Gás encanado de carvão"
"305040900","Produto de petróleo e de carvão, NIC"
"305044000","Vidraria, fibra de vidro, lâmina, etc., exceto frasco, garrafa"
"305048000","Cerâmica"
"305048300","Tijolo e telha - cerâmica"
"305048400","Louça de mesa e outros utensílios (de porcelana, barro, etc.) - cerâmica"
"305048500","Tubo, manilha - cerâmica"
"305048600","Revestimento cerâmico (azulejo, mosaico, etc.) - cerâmica"
"305048700","Louca sanitária (pia, vaso sanitário, etc.) - cerâmica"
"305048900","Cerâmica, NIC"
"305052000","Têxteis - inclui fibras animais após o primeiro desengorduramento e limpeza, fibras vegetais e sintéticas (exceto vidro), fio, linha, tecido, passamanaria, feltro e produtos têxteis em geral"
"305056000","Plástico - inclui pó, folha, trefilado, barra, perfil, etc., não incluindo produto a ser usado no fabrico de plástico"
"305060000","Papel e pasta para papel"
"305064000","Produtos alimentícios inclui carne leite e derivados legumes frutas cerais e derivados"
"305064300","Carne e derivados - inclusive de origem animal"
"305064400","Leite e derivados - inclusive de origem animal"
"305064500","Legume, verdura e derivados"
"305064600","Fruta e derivados"
"305064700","Cereal e derivados"
"305064900","Produto alimentício - inclusive de origem animal, NIC"
"305068300","Medicamento em geral (exceto produto biológico)"
"305068600","Produto biológico (soro, toxina, antitoxina, vacina, plasma) - medicamento"
"305072000","Produto de limpeza, sabão, detergente"
"305076000","Sucata, entulho, resíduo"
"305090000","Substância química, material, produto, NIC"
"306020000","Animal vivo"
"306040000","Vegetal - planta, árvore, em estado natural, não beneficiada (não inclui grão debulhado, fruto colhido, toro mesmo com galho)"
"306060000","Agente infeccioso ou parasitário - inclui bactéria, fungo, organismo parasitário, vírus, etc., não incluindo produto químico, preparado farmacêutico ou alimento"
"306090000","Ser vivo, NIC"
"307030100","Cadeira banco - mobiliário e acessórios"
"307030200","Mesa, carteira, exceto mesa elástica desmontável - mobiliário e acessórios"
"307030250","Mesa elástica desmontável - mobiliário e acessórios"
"307030300","Balcão, bancada - mobiliário e acessórios"
"307030400","Arquivo, fichário, estante - mobiliário e acessórios"
"307030500","Tapete, forração de piso, capacho - mobiliário e acessórios"
"307030600","Luminária, globo, lâmpada - mobiliário e acessórios"
"307030900","Mobiliário e acessórios, NIC"
"307040100","Caixa, engradado, caixote - embalagem, recipiente, vazio ou cheio"
"307040300","Frasco, garrafa - embalagem, recipiente, vazio ou cheio"
"307040500","Barril, barrica, barrilete, tambor - embalagem, recipiente, vazio ou cheio"
"307040700","Tanque, cilindro (transportáveis e não sob pressão) - embalagem, recipiente, vazio ou cheio"
"307040900","Embalagem e recipiente, vazio ou cheio, NIC"
"307050900","Vestuário, NIC"
"307070000","Área ou ambiente de trabalho - o agente do acidente ocorrido em consequência de fenômeno atmosférico, meteoro, etc., assim como da ação da radiação solar, deverá ser incluído neste item"
"309000000","Agente do acidente, NIC"
"309500000","Agente do acidente inexistente"
"354000000","Energia"
"354010300","Pressão ambiente alta trabalho em caixão pneumático mergulho"
"354010600","Pressão ambiente baixa ar rarefeito"
"354020000","Ruído"
"354040000","Fogo chama material incandescente ou quente fumaça"
"354050300","Temperatura ambiente - não inclui a de objeto ou substância quente"
"355016000","Aerodispersóides"
"355016600","Neblina"
"355016800","Gás e vapor"
